ID,symbol,interval,Smooth Data?,Main Length Period,Secondary Length Period,Deviation Coefficient,BB Source,BB Length,BB StdDev,BB Signal Smoothing,BB Std. threshold,From Day,From Month,From Year,To Day,To Month,To Year,Use Heikin Ashi Candles in Algo Calculations,length,pcntChange,Rating for entry,Rating for exit,TP % for Short entries,SL % for Short entries,entry_numbers,longEntry,shortEntry,risk,leverage,combinedValue_net_profit,combinedPct_net_profit,longValue_net_profit,back_test,Score_back,,fw_test,Score_fw,weighted_average
"07, 01, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,7,1,0.35,0.5,0,0,0,TRUE,FALSE,100,1,21468.78,2146.88,21468.78,2146.88,96.80,,480.49,98.26,97.10724419
"04, 01, 0.30, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,4,1,0.3,0.45,0,0,0,TRUE,FALSE,100,1,21100.7,2110.07,21100.7,2110.07,95.14,,463.38,94.76,95.05849691
"04, 01, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,4,1,0.3,0.5,0,0,0,TRUE,FALSE,100,1,21100.7,2110.07,21100.7,2110.07,95.14,,463.38,94.76,95.05849691
"04, 01, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,4,1,0.35,0.5,0,0,0,TRUE,FALSE,100,1,21100.7,2110.07,21100.7,2110.07,95.14,,463.38,94.76,95.05849691
"12, 02, 0.30, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.3,0.4,0,0,0,TRUE,FALSE,100,1,21062.34,2106.23,21062.34,2106.23,94.96,,443.52,90.70,94.06288697
"12, 02, 0.30, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.3,0.5,0,0,0,TRUE,FALSE,100,1,21062.34,2106.23,21062.34,2106.23,94.96,,443.52,90.70,94.06288697
"12, 02, 0.35, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.35,0.4,0,0,0,TRUE,FALSE,100,1,21062.34,2106.23,21062.34,2106.23,94.96,,443.52,90.70,94.06288697
"12, 02, 0.35, 0.50",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,12,2,0.35,0.5,0,0,0,TRUE,FALSE,100,1,21062.34,2106.23,21062.34,2106.23,94.96,,443.52,90.70,94.06288697
"11, 02, 0.30, 0.40",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.3,0.4,0,0,0,TRUE,FALSE,100,1,20912.52,2091.25,20912.52,2091.25,94.29,,442.92,90.58,93.50438779
"11, 02, 0.30, 0.45",ETHUSDT,1h,TRUE,24,10,2,low,50,4,21,0.07,1,1,2019,1,1,2021,TRUE,11,2,0.3,0.45,0,0,0,TRUE,FALSE,100,1,20912.52,2091.25,20912.52,2091.25,94.29,,442.92,90.58,93.50438779
